,Unnamed: 0,Label,Precision,Recall,F_Measure,lable in Data,lable in Test Data,TP,FP,FN,TN,Test Count,algorithm,label_algorithm
27,27,I1,0.4666666666666667,0.4117647058823529,0.4374999999999999,177,17,7,8,10,41,66,BR_KN,BR_KN_I1
28,28,I1,0.25,0.125,0.1666666666666666,177,16,2,6,14,44,66,BR_KN,BR_KN_I1
29,29,I1,0.4545454545454545,0.2631578947368421,0.3333333333333333,177,19,5,6,14,41,66,BR_KN,BR_KN_I1
30,30,F1,0.2,0.1,0.1333333333333333,149,10,1,4,9,53,67,BR_KN,BR_KN_F1
31,31,F1,0.3076923076923077,0.25,0.2758620689655172,149,16,4,9,12,42,67,BR_KN,BR_KN_F1
32,32,F1,0.2,0.1818181818181818,0.1904761904761905,149,11,2,8,9,48,67,BR_KN,BR_KN_F1
33,33,F1,0.9,0.4285714285714285,0.5806451612903225,149,21,9,1,12,45,67,BR_KN,BR_KN_F1
34,34,F1,0.1111111111111111,0.1111111111111111,0.1111111111111111,149,9,1,8,8,50,67,BR_KN,BR_KN_F1
35,35,F1,0.25,0.1333333333333333,0.1739130434782609,149,15,2,6,13,46,67,BR_KN,BR_KN_F1
36,36,F1,0.3333333333333333,0.2307692307692307,0.2727272727272727,149,13,3,6,10,47,66,BR_KN,BR_KN_F1
37,37,F1,0.5,0.1818181818181818,0.2666666666666666,149,22,4,4,18,40,66,BR_KN,BR_KN_F1
38,38,F1,0.4285714285714285,0.25,0.3157894736842105,149,12,3,4,9,50,66,BR_KN,BR_KN_F1
39,39,F1,0.6,0.15,0.24,149,20,3,2,17,44,66,BR_KN,BR_KN_F1
40,40,SP1,0.1428571428571428,0.125,0.1333333333333333,89,8,1,6,7,53,67,BR_KN,BR_KN_SP1
42,42,SP1,0.6666666666666666,0.1818181818181818,0.2857142857142857,89,11,2,1,9,55,67,BR_KN,BR_KN_SP1
44,44,SP1,0.3333333333333333,0.1538461538461538,0.2105263157894736,89,13,2,4,11,50,67,BR_KN,BR_KN_SP1
46,46,SP1,0.6666666666666666,0.2857142857142857,0.4,89,7,2,1,5,58,66,BR_KN,BR_KN_SP1
48,48,SP1,0.2857142857142857,0.25,0.2666666666666666,89,8,2,5,6,53,66,BR_KN,BR_KN_SP1
49,49,SP1,0.3333333333333333,0.1428571428571428,0.2,89,7,1,2,6,57,66,BR_KN,BR_KN_SP1
50,50,L2,0.5,0.4285714285714285,0.4615384615384615,82,7,3,3,4,57,67,BR_KN,BR_KN_L2
51,51,L2,0.2,0.1428571428571428,0.1666666666666666,82,7,1,4,6,56,67,BR_KN,BR_KN_L2
52,52,L2,0.4,0.25,0.3076923076923077,82,8,2,3,6,56,67,BR_KN,BR_KN_L2
53,53,L2,0.2,0.125,0.1538461538461538,82,8,1,4,7,55,67,BR_KN,BR_KN_L2
54,54,L2,0.5714285714285714,0.3636363636363636,0.4444444444444444,82,11,4,3,7,53,67,BR_KN,BR_KN_L2
55,55,L2,0.5,0.2222222222222222,0.3076923076923076,82,9,2,2,7,56,67,BR_KN,BR_KN_L2
56,56,L2,0.3333333333333333,0.6666666666666666,0.4444444444444444,82,3,2,4,1,59,66,BR_KN,BR_KN_L2
57,57,L2,0.6,0.3,0.4,82,10,3,2,7,54,66,BR_KN,BR_KN_L2
58,58,L2,0.75,0.3,0.4285714285714285,82,10,3,1,7,55,66,BR_KN,BR_KN_L2
59,59,L2,0.625,0.5555555555555556,0.5882352941176471,82,9,5,3,4,54,66,BR_KN,BR_KN_L2
81,81,LI2,0.375,0.375,0.375,72,8,3,5,5,54,67,BR_KN,BR_KN_LI2
82,82,LI2,0.3333333333333333,0.25,0.2857142857142857,72,8,2,4,6,55,67,BR_KN,BR_KN_LI2
