,Unnamed: 0,Label,Precision,Recall,F_Measure,lable in Data,lable in Test Data,TP,FP,FN,TN,Test Count,algorithm,label_algorithm
6,6,SP1,0.24285714285714285,0.11392357642357642,0.14962406015037594,89,8.9,1.0,3.0,7.9,54.7,66.6,BR_KN,BR_KN_SP1
7,7,L1,0.2,0.075,0.10666666666666666,23,2.3000000000000003,0.2,0.3,2.1,64.0,66.6,BR_KN,BR_KN_L1
8,8,I7,0.05,0.05,0.05,34,3.4,0.1,0.9,3.3,62.3,66.6,BR_KN,BR_KN_I7
9,9,I6,0.05,0.016666666666666666,0.025,40,4.0,0.1,0.9,3.9,61.7,66.6,BR_KN,BR_KN_I6
10,10,CP5,0.05,0.05,0.05,35,3.5,0.1,0.5,3.4,62.6,66.6,BR_KN,BR_KN_CP5
11,11,main,0.038958169781774514,0.032211397665810916,0.033648418190064935,0,0.0,0.0,0.0,0.0,0.0,0.0,BR_KN,BR_KN_main
0,0,CM,0.7895369466443944,0.878893241160948,0.8231185402626888,295,29.5,25.5,6.9,4.0,30.2,66.6,BR_RF,BR_RF_CM
1,1,LI1,0.7327330814142321,0.8068100866630278,0.7659174898476449,348,34.8,27.9,10.2,6.9,21.6,66.6,BR_RF,BR_RF_LI1
2,2,L2,0.5366666666666667,0.2531096681096681,0.3279271218977101,82,8.2,2.1,1.9,6.1,56.5,66.6,BR_RF,BR_RF_L2
3,3,I1,0.3951126651126652,0.2258016978721313,0.2830259137414309,177,17.7,4.0,6.0,13.7,42.9,66.6,BR_RF,BR_RF_I1
4,4,F1,0.3057936507936508,0.1317439504939505,0.17516294406497146,149,14.9,2.0,4.2,12.9,47.5,66.6,BR_RF,BR_RF_F1
5,5,I7,0.3,0.12833333333333333,0.16857142857142854,34,3.4,0.4,0.5,3.0,62.7,66.6,BR_RF,BR_RF_I7
6,6,MM7,0.3,0.125,0.17333333333333334,24,2.4,0.3,0.1,2.1,64.1,66.6,BR_RF,BR_RF_MM7
7,7,SP1,0.26,0.11246753246753248,0.14666666666666667,89,8.9,1.0,2.8,7.9,54.9,66.6,BR_RF,BR_RF_SP1
8,8,MM6,0.2,0.13333333333333333,0.15,20,2.0,0.2,0.1,1.8,64.5,66.6,BR_RF,BR_RF_MM6
9,9,LI2,0.18916666666666665,0.09416666666666666,0.1188605512134924,72,7.2,0.7,2.4,6.5,57.0,66.6,BR_RF,BR_RF_LI2
10,10,F2,0.1,0.025,0.04,53,5.3,0.2,1.1,5.1,60.2,66.6,BR_RF,BR_RF_F2
