,Label,Precision,Recall,F-Measure,lable in Data,lable in Test Data,TP,FP,FN,TN,Test Count
0,CC4,1.0,1.0,1.0,4,1,1,0,0,133,134
1,CM,0.6951219512195121,0.9827586206896551,0.8142857142857143,295,58,57,25,1,51,134
2,LI1,0.6666666666666666,0.9117647058823529,0.7701863354037267,348,68,62,31,6,35,134
3,I7,0.5555555555555556,0.5,0.5263157894736842,34,10,5,4,5,120,134
4,MM3,0.5,0.3333333333333333,0.4,8,3,1,1,2,130,134
5,CP4,0.5,0.25,0.3333333333333333,12,4,1,1,3,129,134
6,L2,0.46153846153846156,0.48,0.47058823529411764,82,25,12,14,13,95,134
7,I1,0.4,0.5405405405405406,0.45977011494252873,177,37,20,30,17,67,134
8,LI2,0.35714285714285715,0.5882352941176471,0.4444444444444445,72,17,10,18,7,99,134
9,F1,0.34210526315789475,0.37142857142857144,0.35616438356164387,149,35,13,25,22,74,134
10,I6,0.3333333333333333,0.1111111111111111,0.16666666666666666,40,9,1,2,8,123,134
11,SP1,0.3333333333333333,0.5294117647058824,0.409090909090909,89,17,9,18,8,99,134
12,MM7,0.25,0.25,0.25,24,4,1,3,3,127,134
13,F2,0.2222222222222222,0.2222222222222222,0.2222222222222222,53,9,2,7,7,118,134
14,MM1,0.2,0.16666666666666666,0.1818181818181818,32,6,1,4,5,124,134
15,main,0.07330128649644986,0.07782228850212884,0.07317082075846422,0,0,0,0,0,0,0
16,SP4,0.0,0.0,0.0,8,1,0,0,1,133,134
17,NB5,0.0,0.0,0.0,4,1,0,0,1,133,134
18,NB3,0.0,0.0,0.0,3,1,0,0,1,133,134
19,SS8,0.0,0.0,0.0,2,0,0,0,0,134,134
20,SS9,0.0,0.0,0.0,4,0,0,0,0,134,134
21,NB1,0.0,0.0,0.0,21,1,0,6,1,127,134
22,N1,0.0,0.0,0.0,1,0,0,1,0,133,134
23,MM9,0.0,0.0,0.0,15,2,0,5,2,127,134
24,T1,0.0,0.0,0.0,16,5,0,3,5,126,134
25,MM8,0.0,0.0,0.0,8,1,0,1,1,132,134
26,T2,0.0,0.0,0.0,4,0,0,1,0,133,134
27,T3,0.0,0.0,0.0,20,6,0,2,6,126,134
28,MM6,0.0,0.0,0.0,20,4,0,4,4,126,134
29,W1,0.0,0.0,0.0,4,1,0,0,1,133,134
30,MM5,0.0,0.0,0.0,18,5,0,2,5,127,134
31,MM4,0.0,0.0,0.0,14,5,0,5,5,124,134
32,W2,0.0,0.0,0.0,3,1,0,0,1,133,134
33,NB4,0.0,0.0,0.0,1,0,0,0,0,134,134
34,SS6,0.0,0.0,0.0,1,0,0,1,0,133,134
35,SP3,0.0,0.0,0.0,1,0,0,0,0,134,134
36,O1,0.0,0.0,0.0,1,1,0,0,1,133,134
37,SP2,0.0,0.0,0.0,10,3,0,1,3,130,134
38,SS1,0.0,0.0,0.0,3,1,0,0,1,133,134
39,SS2,0.0,0.0,0.0,2,0,0,0,0,134,134
40,SS4,0.0,0.0,0.0,1,1,0,0,1,133,134
41,SA1,0.0,0.0,0.0,2,1,0,0,1,133,134
42,S2,0.0,0.0,0.0,1,0,0,0,0,134,134
43,RD7,0.0,0.0,0.0,1,0,0,0,0,134,134
44,RD2,0.0,0.0,0.0,1,0,0,0,0,134,134
45,MM2,0.0,0.0,0.0,6,2,0,2,2,130,134
46,R4,0.0,0.0,0.0,1,0,0,0,0,134,134
47,PN6,0.0,0.0,0.0,1,0,0,0,0,134,134
48,PN1,0.0,0.0,0.0,1,0,0,0,0,134,134
49,PB6,0.0,0.0,0.0,6,3,0,1,3,130,134
50,PB1,0.0,0.0,0.0,6,2,0,0,2,132,134
51,OTHER,0.0,0.0,0.0,27,7,0,1,7,126,134
52,RD1,0.0,0.0,0.0,2,2,0,0,2,132,134
53,LI1F2,0.0,0.0,0.0,1,0,0,2,0,132,134
54,LL2,0.0,0.0,0.0,1,0,0,0,0,134,134
55,LL1,0.0,0.0,0.0,5,1,0,1,1,132,134
56,F6,0.0,0.0,0.0,10,2,0,0,2,132,134
57,F4,0.0,0.0,0.0,1,1,0,0,1,133,134
58,F3,0.0,0.0,0.0,9,4,0,0,4,130,134
59,E1,0.0,0.0,0.0,1,0,0,0,0,134,134
60,D3,0.0,0.0,0.0,4,0,0,1,0,133,134
61,D2,0.0,0.0,0.0,10,3,0,1,3,130,134
62,CP5,0.0,0.0,0.0,35,7,0,7,7,120,134
63,CP2,0.0,0.0,0.0,12,3,0,0,3,131,134
64,CP1,0.0,0.0,0.0,18,1,0,3,1,130,134
65,CM1,0.0,0.0,0.0,3,0,0,0,0,134,134
66,CC3,0.0,0.0,0.0,3,0,0,0,0,134,134
67,CC2,0.0,0.0,0.0,1,0,0,0,0,134,134
68,CC1,0.0,0.0,0.0,4,1,0,1,1,132,134
69,C1,0.0,0.0,0.0,1,0,0,1,0,133,134
70,AR9,0.0,0.0,0.0,1,0,0,0,0,134,134
71,AP3,0.0,0.0,0.0,5,0,0,0,0,134,134
72,AP2,0.0,0.0,0.0,3,1,0,1,1,132,134
73,FC1,0.0,0.0,0.0,1,0,0,0,0,134,134
74,FP1,0.0,0.0,0.0,20,5,0,1,5,128,134
75,FP2,0.0,0.0,0.0,15,6,0,1,6,127,134
76,I5,0.0,0.0,0.0,17,7,0,2,7,125,134
77,LITERACY,0.0,0.0,0.0,2,2,0,0,2,132,134
78,AP1,0.0,0.0,0.0,2,1,0,1,1,132,134
79,L7,0.0,0.0,0.0,1,0,0,0,0,134,134
80,L3,0.0,0.0,0.0,1,1,0,0,1,133,134
81,L12,0.0,0.0,0.0,7,2,0,0,2,132,134
82,L1,0.0,0.0,0.0,23,3,0,4,3,127,134
83,I8,0.0,0.0,0.0,22,4,0,2,4,128,134
84,I3,0.0,0.0,0.0,10,4,0,1,4,129,134
85,FP3,0.0,0.0,0.0,4,1,0,1,1,132,134
86,I2,0.0,0.0,0.0,2,1,0,0,1,133,134
87,H3,0.0,0.0,0.0,2,1,0,0,1,133,134
88,H2,0.0,0.0,0.0,5,1,0,1,1,132,134
89,H1,0.0,0.0,0.0,1,0,0,0,0,134,134
90,FP6,0.0,0.0,0.0,14,4,0,1,4,129,134
91,FP5,0.0,0.0,0.0,34,10,0,5,10,119,134
92,FP4,0.0,0.0,0.0,2,0,0,0,0,134,134
93,W3,0.0,0.0,0.0,1,0,0,0,0,134,134
