,Label,Precision,Recall,F-Measure,lable in Data,lable in Test Data,TP,FP,FN,TN,Test Count
0,CM,0.7442754759860023,0.9967741935483871,0.8498167648425085,295,29.5,29.4,9.9,0.1,27.2,66.6
1,LI1,0.6855713426859814,0.9719127308833191,0.8023556108468364,348,34.8,33.8,15.5,1.0,16.3,66.6
2,I1,0.3839254041324881,0.5482389183743673,0.4487673448865747,177,17.700000000000003,9.8,15.8,7.9,33.1,66.6
3,F1,0.3565805422647528,0.4931650294150294,0.4035014131278987,149,14.9,7.5,12.2,7.4,39.5,66.6
4,L2,0.3314160839160839,0.4397113997113998,0.3463621553884712,82,8.2,3.5,7.0,4.7,51.4,66.6
5,SP1,0.29047619047619044,0.26189726939726937,0.26608998844292964,89,8.899999999999999,2.3,5.1,6.6,52.6,66.6
6,LI2,0.27135620915032677,0.39559523809523817,0.3004206662902315,72,7.199999999999999,2.9,6.9,4.3,52.5,66.6
7,I7,0.23333333333333334,0.11166666666666666,0.15,34,3.4,0.4,1.2,3.0,62.0,66.6
8,L1,0.2,0.075,0.10666666666666666,23,2.3000000000000003,0.2,0.3,2.1,64.0,66.6
9,MM7,0.13333333333333333,0.1,0.10666666666666666,24,2.4000000000000004,0.2,0.5,2.2,63.7,66.6
10,F2,0.1,0.0125,0.02222222222222222,53,5.3,0.1,0.4,5.2,60.9,66.6
11,I8,0.05,0.03333333333333333,0.04,22,2.2,0.1,0.1,2.1,64.3,66.6
12,CC4,0.05,0.1,0.06666666666666667,4,0.4,0.1,0.4,0.3,65.8,66.6
13,main,0.04154409944743899,0.04903005139166677,0.042306840495136264,0,0.0,0.0,0.0,0.0,0.0,0.0
14,FP5,0.03333333333333333,0.02,0.025,34,3.4,0.1,0.7,3.3,62.5,66.6
15,N1,0.0,0.0,0.0,1,0.1,0.0,0.1,0.1,66.4,66.6
16,MM9,0.0,0.0,0.0,15,1.5,0.0,0.3,1.5,64.8,66.6
17,NB1,0.0,0.0,0.0,21,2.1,0.0,0.1,2.1,64.4,66.6
